ID                                     0x8c8f
Delivery_person_ID             BANGRES07DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 12.978453
Restaurant_longitude                77.643685
Delivery_location_latitude          12.988453
Delivery_location_longitude         77.653685
Order_Date                         07-03-2022
Time_Orderd                             10:40
Time_Order_picked                       10:50
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    26.000000
Name: 14137, dtype: object
