ID                                    0xe22f
Delivery_person_ID             DEHRES12DEL01
Delivery_person_Age                    33.00
Delivery_person_Ratings                 4.90
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        13-02-2022
Time_Orderd                             8:10
Time_Order_picked                       8:25
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                 NaN
City                           Metropolitian
Time_taken (min)                       11.00
Name: 44672, dtype: object
