ID                                     0xbcc7
Delivery_person_ID             PUNERES06DEL03
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 18.546258
Restaurant_longitude                73.904337
Delivery_location_latitude          18.576258
Delivery_location_longitude         73.934337
Order_Date                         03-04-2022
Time_Orderd                             22:50
Time_Order_picked                       22:55
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    23.000000
Name: 43651, dtype: object
