ID                                     0xca08
Delivery_person_ID             ALHRES010DEL03
Delivery_person_Age                     32.00
Delivery_person_Ratings                  4.80
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.09
Delivery_location_longitude              0.09
Order_Date                         12-02-2022
Time_Orderd                             20:55
Time_Order_picked                       21:10
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        42.00
Name: 21488, dtype: object
