ID                                    0xc0a3
Delivery_person_ID             KOLRES03DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude               -22.526461
Restaurant_longitude               88.364453
Delivery_location_latitude         22.596461
Delivery_location_longitude        88.434453
Order_Date                        18-02-2022
Time_Orderd                            17:55
Time_Order_picked                      18:10
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   23.000000
Name: 15786, dtype: object
