ID                                     0xbffe
Delivery_person_ID             AURGRES04DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -19.876106
Restaurant_longitude               -75.340775
Delivery_location_latitude          20.006106
Delivery_location_longitude         75.470775
Order_Date                         14-02-2022
Time_Orderd                               NaN
Time_Order_picked                       19:60
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 32071, dtype: object
