ID                                    0xa7c2
Delivery_person_ID             MUMRES20DEL03
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                19.103249
Restaurant_longitude               72.846749
Delivery_location_latitude         19.163249
Delivery_location_longitude        72.906749
Order_Date                        09-03-2022
Time_Orderd                            20:55
Time_Order_picked                      20:60
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 16083, dtype: object
