ID                                    0x1feb
Delivery_person_ID             VADRES18DEL01
Delivery_person_Age                    23.00
Delivery_person_Ratings                 4.60
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        05-03-2022
Time_Orderd                             8:10
Time_Order_picked                       8:25
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                                   Urban
Time_taken (min)                       14.00
Name: 14416, dtype: object
