ID                                    0x1bb3
Delivery_person_ID             MUMRES05DEL03
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                18.927584
Restaurant_longitude               72.832585
Delivery_location_latitude         18.957584
Delivery_location_longitude        72.862585
Order_Date                        09-03-2022
Time_Orderd                            22:25
Time_Order_picked                      22:35
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 21946, dtype: object
