ID                                        0x3fe
Delivery_person_ID             RANCHIRES19DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -23.333017
Restaurant_longitude                 -85.317200
Delivery_location_latitude            23.363017
Delivery_location_longitude           85.347200
Order_Date                           01-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:45
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      11.000000
Name: 30399, dtype: object
