ID                                     0x8eb8
Delivery_person_ID             BANGRES05DEL02
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 12.970324
Restaurant_longitude                77.645748
Delivery_location_latitude          13.020324
Delivery_location_longitude         77.695748
Order_Date                         03-04-2022
Time_Orderd                             20:50
Time_Order_picked                       21:05
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 4460, dtype: object
