ID                                     0x32dc
Delivery_person_ID             INDORES20DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              3.500000
Restaurant_latitude                 22.732225
Restaurant_longitude                75.874765
Delivery_location_latitude          22.802225
Delivery_location_longitude         75.944765
Order_Date                         23-03-2022
Time_Orderd                             20:20
Time_Order_picked                       20:25
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    38.000000
Name: 29492, dtype: object
