ID                                       0xb11b
Delivery_person_ID             RANCHIRES19DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.353017
Delivery_location_longitude           85.337200
Order_Date                           01-04-2022
Time_Orderd                                8:25
Time_Order_picked                          8:35
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 19033, dtype: object
