ID                                    0xc1bc
Delivery_person_ID             KOCRES17DEL02
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                 9.959778
Restaurant_longitude               76.296106
Delivery_location_latitude         10.039778
Delivery_location_longitude        76.376106
Order_Date                        18-02-2022
Time_Orderd                            18:55
Time_Order_picked                      18:60
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 30178, dtype: object
