ID                                      0x3ef5
Delivery_person_ID             COIMBRES18DEL01
Delivery_person_Age                  35.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.060910
Delivery_location_longitude          76.980432
Order_Date                          05-04-2022
Time_Orderd                              12:30
Time_Order_picked                        12:40
Weather conditions                      Cloudy
Road_traffic_density                      High
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     31.000000
Name: 17701, dtype: object
