ID                                     0x25e3
Delivery_person_ID             CHENRES04DEL02
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 13.029780
Restaurant_longitude                80.208812
Delivery_location_latitude          13.109780
Delivery_location_longitude         80.288812
Order_Date                         25-03-2022
Time_Orderd                             18:45
Time_Order_picked                       18:55
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    16.000000
Name: 28352, dtype: object
