ID                                    0x8dc6
Delivery_person_ID             MUMRES19DEL02
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                19.131141
Restaurant_longitude               72.813074
Delivery_location_latitude         19.151141
Delivery_location_longitude        72.833074
Order_Date                        05-03-2022
Time_Orderd                             8:25
Time_Order_picked                       8:35
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   19.000000
Name: 37009, dtype: object
