ID                                    0xc1f9
Delivery_person_ID             DEHRES14DEL01
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                30.319528
Restaurant_longitude               78.040267
Delivery_location_latitude         30.359528
Delivery_location_longitude        78.080267
Order_Date                        13-02-2022
Time_Orderd                            12:45
Time_Order_picked                      12:55
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 32757, dtype: object
