ID                                       0xcb32
Delivery_person_ID                ALHRES12DEL01
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   25.443994
Restaurant_longitude                  81.860187
Delivery_location_latitude            25.453994
Delivery_location_longitude           81.870187
Order_Date                           17-02-2022
Time_Orderd                               10:30
Time_Order_picked                         10:35
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      10.000000
Name: 34682, dtype: object
