ID                                     0xa38d
Delivery_person_ID             INDORES03DEL01
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.751857
Restaurant_longitude                75.866699
Delivery_location_latitude          22.761857
Delivery_location_longitude         75.876699
Order_Date                         07-03-2022
Time_Orderd                             11:45
Time_Order_picked                       11:50
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    20.000000
Name: 19494, dtype: object
