ID                                     0xaef0
Delivery_person_ID             INDORES19DEL01
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.745536
Restaurant_longitude                75.893106
Delivery_location_latitude          22.785536
Delivery_location_longitude         75.933106
Order_Date                         11-03-2022
Time_Orderd                             16:20
Time_Order_picked                       16:30
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    25.000000
Name: 12153, dtype: object
