ID                                     0xb0e
Delivery_person_ID             JAPRES18DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.913987
Restaurant_longitude               75.752891
Delivery_location_latitude         26.923987
Delivery_location_longitude        75.762891
Order_Date                        03-04-2022
Time_Orderd                            11:55
Time_Order_picked                      12:05
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 12388, dtype: object
