ID                                       0x26ae
Delivery_person_ID               PUNERES20DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   18.592718
Restaurant_longitude                  73.773572
Delivery_location_latitude            18.672718
Delivery_location_longitude           73.853572
Order_Date                           08-03-2022
Time_Orderd                               21:50
Time_Order_picked                         21:55
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      21.000000
Name: 93, dtype: object
