ID                                    0xac2c
Delivery_person_ID             VADRES20DEL01
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                22.311358
Restaurant_longitude               73.164798
Delivery_location_latitude         22.321358
Delivery_location_longitude        73.174798
Order_Date                        05-04-2022
Time_Orderd                            11:10
Time_Order_picked                      11:15
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   35.000000
Name: 36025, dtype: object
