ID                                     0x1dfd
Delivery_person_ID             BANGRES12DEL02
Delivery_person_Age                 20.000000
Delivery_person_Ratings              3.800000
Restaurant_latitude                 12.939496
Restaurant_longitude                77.625999
Delivery_location_latitude          12.959496
Delivery_location_longitude         77.645999
Order_Date                         07-03-2022
Time_Orderd                             11:55
Time_Order_picked                       12:05
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 24715, dtype: object
