ID                                    0xcf16
Delivery_person_ID             KNPRES15DEL03
Delivery_person_Age                32.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                26.482419
Restaurant_longitude               80.320939
Delivery_location_latitude         26.572419
Delivery_location_longitude        80.410939
Order_Date                        16-02-2022
Time_Orderd                            20:10
Time_Order_picked                      20:20
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 3.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   44.000000
Name: 11029, dtype: object
