ID                                    0xde48
Delivery_person_ID             AGRRES01DEL03
Delivery_person_Age                36.000000
Delivery_person_Ratings             3.600000
Restaurant_latitude                27.161661
Restaurant_longitude               78.011544
Delivery_location_latitude         27.251661
Delivery_location_longitude        78.101544
Order_Date                        16-02-2022
Time_Orderd                            20:60
Time_Order_picked                      21:05
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 39265, dtype: object
