ID                                      0xd8df
Delivery_person_ID             LUDHRES010DEL02
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           30.912860
Delivery_location_longitude          75.842199
Order_Date                          13-02-2022
Time_Orderd                              10:40
Time_Order_picked                        10:55
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     12.000000
Name: 9056, dtype: object
