ID                                    0xc3f1
Delivery_person_ID             BHPRES05DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                23.214459
Restaurant_longitude               77.434976
Delivery_location_latitude         23.344459
Delivery_location_longitude        77.564976
Order_Date                        16-02-2022
Time_Orderd                            20:40
Time_Order_picked                      20:50
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                              Semi-Urban
Time_taken (min)                   48.000000
Name: 23678, dtype: object
