ID                                    0xe23a
Delivery_person_ID             KOCRES05DEL02
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                 9.970717
Restaurant_longitude               76.285447
Delivery_location_latitude         10.020717
Delivery_location_longitude        76.335447
Order_Date                        17-02-2022
Time_Orderd                            21:40
Time_Order_picked                      21:55
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 14761, dtype: object
