ID                                       0xa08a
Delivery_person_ID                SURRES09DEL01
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   21.175975
Restaurant_longitude                  72.795503
Delivery_location_latitude            21.245975
Delivery_location_longitude           72.865503
Order_Date                           04-03-2022
Time_Orderd                               19:10
Time_Order_picked                         19:15
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 7441, dtype: object
