ID                                       0x8bf2
Delivery_person_ID             RANCHIRES12DEL02
Delivery_person_Age                       30.00
Delivery_person_Ratings                    3.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.08
Delivery_location_longitude                0.08
Order_Date                           06-04-2022
Time_Orderd                               22:25
Time_Order_picked                         22:40
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          35.00
Name: 14492, dtype: object
