ID                                    0x5ecc
Delivery_person_ID             MYSRES04DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                12.308500
Restaurant_longitude               76.665808
Delivery_location_latitude         12.328500
Delivery_location_longitude        76.685808
Order_Date                        09-03-2022
Time_Orderd                             9:60
Time_Order_picked                      10:15
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 19237, dtype: object
