ID                                       0xc936
Delivery_person_ID                KOLRES20DEL03
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.514119
Restaurant_longitude                  88.362504
Delivery_location_latitude            22.604119
Delivery_location_longitude           88.452504
Order_Date                           14-02-2022
Time_Orderd                               21:20
Time_Order_picked                         21:35
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 13066, dtype: object
