ID                                       0x4cb8
Delivery_person_ID             RANCHIRES07DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                3.600000
Restaurant_latitude                   23.359407
Restaurant_longitude                  85.325055
Delivery_location_latitude            23.449407
Delivery_location_longitude           85.415055
Order_Date                           10-03-2022
Time_Orderd                               21:10
Time_Order_picked                         21:20
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                         scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 27456, dtype: object
