ID                                     0xc0fa
Delivery_person_ID             LUDHRES01DEL02
Delivery_person_Age                 32.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                -30.873988
Restaurant_longitude                75.842739
Delivery_location_latitude          30.923988
Delivery_location_longitude         75.892739
Order_Date                         11-02-2022
Time_Orderd                             17:30
Time_Order_picked                       17:35
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 30450, dtype: object
