ID                                    0x1cdd
Delivery_person_ID             MYSRES06DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                12.323994
Restaurant_longitude               76.626167
Delivery_location_latitude         12.333994
Delivery_location_longitude        76.636167
Order_Date                        05-03-2022
Time_Orderd                            10:10
Time_Order_picked                      10:20
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 29025, dtype: object
