ID                                        0x5ff
Delivery_person_ID               BANGRES03DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   12.979166
Restaurant_longitude                  77.640709
Delivery_location_latitude            13.089166
Delivery_location_longitude           77.750709
Order_Date                           10-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         19:15
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      39.000000
Name: 23194, dtype: object
