ID                                      0x53c
Delivery_person_ID             CHENRES06DEL03
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 13.054347
Restaurant_longitude                80.257221
Delivery_location_latitude          13.084347
Delivery_location_longitude         80.287221
Order_Date                         05-03-2022
Time_Orderd                               NaN
Time_Order_picked                       23:60
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    11.000000
Name: 41492, dtype: object
