ID                                    0x623a
Delivery_person_ID             JAPRES11DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                26.902940
Restaurant_longitude               75.793007
Delivery_location_latitude         26.952940
Delivery_location_longitude        75.843007
Order_Date                        03-04-2022
Time_Orderd                            23:50
Time_Order_picked                      23:60
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 31510, dtype: object
