ID                                        0x4c36
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    31.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.384422
Delivery_location_longitude            85.362900
Order_Date                            15-03-2022
Time_Orderd                                19:25
Time_Order_picked                          19:40
Weather conditions                    Sandstorms
Road_traffic_density                         Jam
Vehicle_condition                              1
Type_of_order                              Snack
Type_of_vehicle                          scooter
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       33.000000
Name: 29789, dtype: object
