ID                                       0xc7d7
Delivery_person_ID                ALHRES16DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   25.450377
Restaurant_longitude                  81.834236
Delivery_location_latitude            25.490377
Delivery_location_longitude           81.874236
Order_Date                           15-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         13:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 16799, dtype: object
