ID                                       0x5a1e
Delivery_person_ID             RANCHIRES17DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.374878
Restaurant_longitude                  85.335739
Delivery_location_latitude            23.414878
Delivery_location_longitude           85.375739
Order_Date                           11-03-2022
Time_Orderd                               16:20
Time_Order_picked                         16:35
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      18.000000
Name: 9326, dtype: object
