ID                                        0xfac
Delivery_person_ID                MYSRES07DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   12.325461
Restaurant_longitude                  76.632278
Delivery_location_latitude            12.355461
Delivery_location_longitude           76.662278
Order_Date                           01-04-2022
Time_Orderd                               17:45
Time_Order_picked                         17:60
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 15779, dtype: object
