ID                                    0x2dc2
Delivery_person_ID             JAPRES19DEL02
Delivery_person_Age                35.000000
Delivery_person_Ratings             3.800000
Restaurant_latitude                26.913726
Restaurant_longitude               75.752820
Delivery_location_latitude         26.993726
Delivery_location_longitude        75.832820
Order_Date                        06-03-2022
Time_Orderd                            22:25
Time_Order_picked                      22:40
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 12908, dtype: object
