ID                                      0x97ce
Delivery_person_ID             CHENRES010DEL03
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  13.066762
Restaurant_longitude                 80.251865
Delivery_location_latitude           13.096762
Delivery_location_longitude          80.281865
Order_Date                          19-03-2022
Time_Orderd                              18:55
Time_Order_picked                        19:05
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     35.000000
Name: 23425, dtype: object
