ID                                     0xa2ab
Delivery_person_ID             INDORES02DEL02
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 22.651847
Restaurant_longitude                75.881991
Delivery_location_latitude          22.781847
Delivery_location_longitude         76.011991
Order_Date                         06-03-2022
Time_Orderd                             19:50
Time_Order_picked                       20:05
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    15.000000
Name: 35881, dtype: object
