ID                                    0x26ef
Delivery_person_ID             SURRES11DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             3.800000
Restaurant_latitude                21.157735
Restaurant_longitude               72.768778
Delivery_location_latitude         21.267735
Delivery_location_longitude        72.878778
Order_Date                        06-03-2022
Time_Orderd                            23:55
Time_Order_picked                      24:05
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   32.000000
Name: 27601, dtype: object
