ID                                      0x27fd
Delivery_person_ID             COIMBRES11DEL01
Delivery_person_Age                  23.000000
Delivery_person_Ratings               2.500000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.071753
Delivery_location_longitude          77.056241
Order_Date                          08-03-2022
Time_Orderd                              23:55
Time_Order_picked                        23:60
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     35.000000
Name: 3977, dtype: object
