ID                                    0x3e2d
Delivery_person_ID             JAPRES17DEL02
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                26.892312
Restaurant_longitude               75.806896
Delivery_location_latitude         26.912312
Delivery_location_longitude        75.826896
Order_Date                        30-03-2022
Time_Orderd                             8:45
Time_Order_picked                       8:50
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   12.000000
Name: 12784, dtype: object
