ID                                     0x2ae8
Delivery_person_ID             PUNERES17DEL01
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 18.530963
Restaurant_longitude                73.828972
Delivery_location_latitude          18.540963
Delivery_location_longitude         73.838972
Order_Date                         26-03-2022
Time_Orderd                              8:20
Time_Order_picked                        8:30
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    13.000000
Name: 44132, dtype: object
