ID                                    0x95cb
Delivery_person_ID             MUMRES19DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                19.131141
Restaurant_longitude               72.813074
Delivery_location_latitude         19.211140
Delivery_location_longitude        72.893074
Order_Date                        16-03-2022
Time_Orderd                            20:55
Time_Order_picked                      20:60
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 21458, dtype: object
