ID                                       0xe72
Delivery_person_ID             COIMBRES14DEL03
Delivery_person_Age                        NaN
Delivery_person_Ratings                    NaN
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.093681
Delivery_location_longitude          77.065525
Order_Date                          12-03-2022
Time_Orderd                                NaN
Time_Order_picked                        22:20
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     21.000000
Name: 12419, dtype: object
