ID                                      0x5aa2
Delivery_person_ID             COIMBRES06DEL02
Delivery_person_Age                  32.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.101278
Delivery_location_longitude          77.075017
Order_Date                          25-03-2022
Time_Orderd                              17:60
Time_Order_picked                        18:05
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     32.000000
Name: 22591, dtype: object
