ID                                    0xc36b
Delivery_person_ID             AGRRES09DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.02
Delivery_location_longitude             0.02
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                       9:10
Weather conditions                       NaN
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       14.00
Name: 16894, dtype: object
