ID                                    0xbfd7
Delivery_person_ID             KOCRES18DEL03
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                 9.957144
Restaurant_longitude               76.296783
Delivery_location_latitude         10.017144
Delivery_location_longitude        76.356783
Order_Date                        15-02-2022
Time_Orderd                            17:55
Time_Order_picked                      17:60
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   19.000000
Name: 18796, dtype: object
