ID                                    0xa52d
Delivery_person_ID             HYDRES02DEL03
Delivery_person_Age                24.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                17.412330
Restaurant_longitude               78.449654
Delivery_location_latitude         17.442330
Delivery_location_longitude        78.479654
Order_Date                        11-03-2022
Time_Orderd                            18:50
Time_Order_picked                      19:05
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   15.000000
Name: 29144, dtype: object
