ID                                       0x691d
Delivery_person_ID               INDORES03DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.751857
Restaurant_longitude                  75.866699
Delivery_location_latitude            22.801857
Delivery_location_longitude           75.916699
Order_Date                           11-03-2022
Time_Orderd                               17:55
Time_Order_picked                         18:10
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 28292, dtype: object
