ID                                    0xda57
Delivery_person_ID             GOARES18DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                15.493950
Restaurant_longitude               73.827423
Delivery_location_latitude         15.563950
Delivery_location_longitude        73.897423
Order_Date                        18-02-2022
Time_Orderd                            17:40
Time_Order_picked                      17:45
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 29746, dtype: object
