ID                                       0x875c
Delivery_person_ID             RANCHIRES12DEL03
Delivery_person_Age                       20.00
Delivery_person_Ratings                    5.00
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           29-03-2022
Time_Orderd                               17:15
Time_Order_picked                         17:20
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          38.00
Name: 12775, dtype: object
