ID                                      0x9af7
Delivery_person_ID             COIMBRES16DEL03
Delivery_person_Age                  21.000000
Delivery_person_Ratings               4.400000
Restaurant_latitude                  11.010375
Restaurant_longitude                 76.952950
Delivery_location_latitude           11.040375
Delivery_location_longitude          76.982950
Order_Date                          26-03-2022
Time_Orderd                              19:30
Time_Order_picked                        19:35
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 3403, dtype: object
