ID                                       0x21cb
Delivery_person_ID             RANCHIRES14DEL03
Delivery_person_Age                       31.00
Delivery_person_Ratings                    4.20
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           12-03-2022
Time_Orderd                               20:25
Time_Order_picked                         20:35
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          40.00
Name: 12346, dtype: object
