ID                                    0xcb7c
Delivery_person_ID             AGRRES14DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             3.700000
Restaurant_latitude                27.161850
Restaurant_longitude               78.040165
Delivery_location_latitude         27.291850
Delivery_location_longitude        78.170165
Order_Date                        16-02-2022
Time_Orderd                            19:35
Time_Order_picked                      19:45
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 12887, dtype: object
