ID                                    0xdf0e
Delivery_person_ID             GOARES15DEL01
Delivery_person_Age                 30.00000
Delivery_person_Ratings              4.60000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.52315
Delivery_location_longitude         73.79346
Order_Date                        13-02-2022
Time_Orderd                             9:10
Time_Order_picked                       9:15
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                  1.00000
Festival                                  No
City                                   Urban
Time_taken (min)                    25.00000
Name: 7909, dtype: object
